ward,year,streets,lighting,parks,schools,cameras,misc,arts,trees,other,libraries
46,2015,922203,259532,3209,0,135055,0,0,0,0,0
46,2016,609879.18,671072.76,23048.05,0,0,0,2000,0,14000,0
46,2017,978748.04,293300,37951.95,0,0,0,10000,0,0,0
46,2018,559990.54,710885,25000,0,0,0,0,0,0,9057.18
47,2012,1269500,500,30000,0,0,20000,0,0,0,0
47,2013,1188467,76400,0,55000,0,0,0,0,0,0
47,2014,816948,400,0,500000,0,2482,0,0,0,0
47,2015,814813,504200,0,0,0,988,0,0,0,0
47,2016,867699.99,383300,50000,0,0,0,15000,4000,0,0
47,2017,1117499.99,2500,190000,0,0,0,10000,0,0,0
47,2018,974971.49,100610,176100,0,27011,0,10789.5,2950,0,0
48,2012,370788,860050,20000,0,22500,46663,0,0,0,0
48,2013,805256,149600,222000,125000,0,18144,0,0,0,0
48,2014,1090659,100600,0,115000,0,13496,0,0,0,0
48,2015,867199,375800,0,50000,0,6000,0,0,0,0
48,2016,658182.55,148385.45,346420,120000,27011,0,0,20000,0,0
48,2017,1067619.99,38000,112480,0,0,0,71900,30000,0,0
48,2018,924536.87,111425,11000,36000,27011,0,50000,50000,110000,0
49,2012,1095400,600,29000,0,0,195000,0,0,0,0
49,2013,1143169,165750,6677,0,0,0,0,0,0,0
49,2014,506669,254800,313323,0,0,75746,0,0,0,0
49,2015,733931,0,240000,0,0,30000,0,0,0,0
49,2016,1187499.99,500,35000,0,0,0,0,80000,0,17000
49,2017,707999.99,423000,0,120000,0,0,10000,50000,9000,0
49,2018,2073.99,50,0,76,0,0,0,0,0,0
50,2012,1296243,23760,0,0,0,0,0,0,0,0
50,2013,1187640,132359,0,0,0,0,0,0,0,0
50,2014,1201391,12000,0,0,0,0,0,0,0,0
50,2015,1280913,37426,0,0,0,0,0,0,0,0
50,2016,1058831.85,261168,0,0,0,0,0,0,0,0
50,2017,860317.99,449682,0,0,0,0,10000,0,0,0
50,2018,808219.62,506500,0,0,0,0,4000,0,0,0
